label	orbital	h1	unit_shift	closed_shell_unit_shift_running
M_delta_direct_u0_M	1	-8.796560199719886	0.4701568131058271	0.9403136262116542
M_delta_direct_u0_M	2	-8.796317272572676	0.46977022809411073	1.8798540823998757
M_delta_direct_u0_M	3	-2.9787643974306377	0.031481854354719986	1.9428177911093156
M_delta_direct_u0_M	4	-2.853909675463636	0.04270696518109056	2.0282317214714967
L_delta_u0_M_wM	1	-8.79657946906622	0.47016416053192217	0.9403283210638443
L_delta_u0_M_wM	2	-8.796373177541032	0.46979912264293144	1.8799265663497073
L_delta_u0_M_wM	3	-2.9610861775635477	0.022990883979796654	1.9259083343093006
L_delta_u0_M_wM	4	-2.8256564388387195	0.030743007797638736	1.987394349904578
